signal_idx,entry_time,date,strategy,direction,reason,level,spread_moves,body_moves,recent_moves,entry,stop,target,exit_price,exit_time,outcome,pnl_moves,hold_minutes,ambiguous_same_candle
2005,2026-06-03 15:26:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 43.0 moves from recent high + red candle,1.16139,5.0,13.0,8.0,1.16093,1.16111,1.16068,1.16068,2026-06-03 15:30:00+03:00,WIN,25.0,4,False
2011,2026-06-03 15:32:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 45.0 moves impulse,1.16046,4.0,11.5,45.0,1.16042,1.1606,1.16017,1.16017,2026-06-03 15:35:00+03:00,WIN,25.0,3,False
2016,2026-06-03 15:37:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 40.0 moves impulse,1.16006,1.0,12.5,40.0,1.16004,1.16022,1.15979,1.15979,2026-06-03 15:38:00+03:00,WIN,25.0,1,False
2022,2026-06-03 15:43:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 73.5 moves from recent low + green candle,1.15966,4.0,34.0,57.0,1.16042,1.16024,1.16067,1.16024,2026-06-03 15:47:00+03:00,LOSS,-18.0,4,False
2027,2026-06-03 15:48:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 34.5 moves from recent high + red candle,1.16053,2.0,10.0,21.5,1.16018,1.16036,1.15993,1.15993,2026-06-03 15:51:00+03:00,WIN,25.0,3,False
2032,2026-06-03 15:53:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 29.0 moves from recent low + green candle,1.15976,1.0,20.5,13.5,1.16005,1.15987,1.1603,1.15987,2026-06-03 15:55:00+03:00,LOSS,-18.0,2,False
2041,2026-06-03 16:02:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 26.0 moves from recent low + green candle,1.15978,1.0,12.0,8.5,1.16004,1.15986,1.16029,1.16029,2026-06-03 16:08:00+03:00,WIN,25.0,6,False
2046,2026-06-03 16:07:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 35.0 moves from recent low + green candle,1.15991,3.0,17.0,21.0,1.16027,1.16009,1.16052,1.16009,2026-06-03 16:17:00+03:00,LOSS,-18.0,10,False
2051,2026-06-03 16:12:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 36.0 moves from recent low + green candle,1.15998,6.0,8.5,9.0,1.16037,1.16019,1.16062,1.16019,2026-06-03 16:14:00+03:00,LOSS,-18.0,2,False
2056,2026-06-03 16:17:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 50.0 moves from recent high + red candle,1.16037,2.0,27.5,46.0,1.15986,1.16004,1.15961,1.16004,2026-06-03 16:21:00+03:00,LOSS,-18.0,4,False
2061,2026-06-03 16:22:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 40.5 moves from recent low + green candle,1.15973,4.0,9.0,26.5,1.16016,1.15998,1.16041,1.15998,2026-06-03 16:24:00+03:00,LOSS,-18.0,2,False
2066,2026-06-03 16:27:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 47.5 moves from recent low + green candle,1.15973,4.0,13.5,8.0,1.16023,1.16005,1.16048,1.16048,2026-06-03 16:30:00+03:00,WIN,25.0,3,False
