time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,open_mid,high_mid,low_mid,close_mid,spread_moves,date
2026-06-02 12:35:00+03:00,1.16442,1.16442,1.16437,1.16439,1.16447,1.16447,1.1644,1.16442,1.164445,1.164445,1.164385,1.164405,2.9999999999974487,2026-06-02
2026-06-02 12:36:00+03:00,1.16441,1.16448,1.16441,1.16448,1.16444,1.16451,1.16444,1.16451,1.164425,1.164495,1.164425,1.164495,2.9999999999974487,2026-06-02
2026-06-02 12:37:00+03:00,1.16447,1.16447,1.16442,1.16446,1.1645,1.16452,1.16447,1.16448,1.164485,1.164495,1.164445,1.1644700000000001,1.9999999999908977,2026-06-02
2026-06-02 12:38:00+03:00,1.16446,1.16446,1.16441,1.16443,1.16449,1.16452,1.16446,1.16447,1.164475,1.16449,1.164435,1.16445,3.9999999999817955,2026-06-02
2026-06-02 12:39:00+03:00,1.16444,1.16444,1.16438,1.1644,1.16447,1.16447,1.16442,1.16445,1.1644549999999998,1.1644549999999998,1.1644,1.164425,4.999999999988347,2026-06-02
2026-06-02 12:40:00+03:00,1.16439,1.16442,1.16424,1.16434,1.16441,1.16445,1.16427,1.16437,1.1644,1.164435,1.1642549999999998,1.164355,2.9999999999974487,2026-06-02
2026-06-02 12:41:00+03:00,1.16433,1.16442,1.16429,1.16442,1.16436,1.16446,1.16433,1.16446,1.164345,1.16444,1.16431,1.16444,4.000000000004,2026-06-02
2026-06-02 12:42:00+03:00,1.16442,1.16443,1.16438,1.16442,1.16443,1.16446,1.16442,1.16446,1.164425,1.1644450000000002,1.1644,1.16444,4.000000000004,2026-06-02
2026-06-02 12:43:00+03:00,1.16442,1.16442,1.16431,1.16434,1.16443,1.16445,1.16435,1.16436,1.164425,1.164435,1.16433,1.16435,2.0000000000131024,2026-06-02
2026-06-02 12:44:00+03:00,1.16434,1.16438,1.16432,1.16437,1.16435,1.16442,1.16435,1.16438,1.164345,1.1644,1.164335,1.164375,1.0000000000065512,2026-06-02
2026-06-02 12:45:00+03:00,1.16436,1.16441,1.16436,1.16438,1.16441,1.16444,1.16438,1.16442,1.164385,1.164425,1.16437,1.1644,4.000000000004,2026-06-02
2026-06-02 12:46:00+03:00,1.16438,1.16445,1.16436,1.16439,1.16443,1.16448,1.1644,1.16443,1.164405,1.1644649999999999,1.16438,1.1644100000000002,4.000000000004,2026-06-02
2026-06-02 12:47:00+03:00,1.16438,1.16439,1.16428,1.16428,1.16443,1.16443,1.1643,1.1643,1.164405,1.1644100000000002,1.1642899999999998,1.1642899999999998,1.9999999999908977,2026-06-02
2026-06-02 12:48:00+03:00,1.16427,1.16436,1.16427,1.16436,1.1643,1.16439,1.16429,1.16439,1.164285,1.1643750000000002,1.16428,1.1643750000000002,2.9999999999974487,2026-06-02
2026-06-02 12:49:00+03:00,1.16436,1.16444,1.16435,1.16443,1.16438,1.16447,1.16438,1.16447,1.16437,1.1644549999999998,1.164365,1.16445,3.9999999999817955,2026-06-02
2026-06-02 12:50:00+03:00,1.16441,1.16441,1.1643,1.16433,1.16442,1.16442,1.16434,1.16435,1.164415,1.164415,1.16432,1.1643400000000002,1.9999999999908977,2026-06-02
2026-06-02 12:51:00+03:00,1.16431,1.16438,1.16428,1.16437,1.16436,1.16442,1.16431,1.16439,1.164335,1.1644,1.164295,1.16438,2.0000000000131024,2026-06-02
2026-06-02 12:52:00+03:00,1.16435,1.16435,1.16422,1.16426,1.16439,1.16439,1.16426,1.1643,1.16437,1.16437,1.16424,1.16428,3.9999999999817955,2026-06-02
2026-06-02 12:53:00+03:00,1.16424,1.16427,1.1642,1.1642,1.16428,1.1643,1.16422,1.16422,1.16426,1.164285,1.16421,1.16421,2.0000000000131024,2026-06-02
2026-06-02 12:54:00+03:00,1.16418,1.16423,1.16418,1.1642,1.16423,1.16425,1.16421,1.16424,1.164205,1.16424,1.1641949999999999,1.1642199999999998,4.000000000004,2026-06-02
2026-06-02 12:55:00+03:00,1.16421,1.16429,1.16421,1.16425,1.16425,1.16433,1.16424,1.16427,1.1642299999999999,1.16431,1.164225,1.16426,1.9999999999908977,2026-06-02
2026-06-02 12:56:00+03:00,1.16423,1.16428,1.16416,1.16416,1.16427,1.1643,1.16421,1.16421,1.16425,1.1642899999999998,1.164185,1.164185,4.999999999988347,2026-06-02
2026-06-02 12:57:00+03:00,1.16417,1.16422,1.16413,1.16416,1.16421,1.16424,1.16418,1.1642,1.16419,1.1642299999999999,1.164155,1.16418,3.9999999999817955,2026-06-02
2026-06-02 12:58:00+03:00,1.16414,1.16417,1.1641,1.16412,1.1642,1.1642,1.16412,1.16414,1.16417,1.1641849999999998,1.16411,1.16413,1.9999999999908977,2026-06-02
2026-06-02 12:59:00+03:00,1.16412,1.16433,1.16409,1.16431,1.16413,1.16437,1.16412,1.16433,1.164125,1.16435,1.1641050000000002,1.16432,2.0000000000131024,2026-06-02
2026-06-02 13:00:00+03:00,1.16432,1.16433,1.16419,1.16422,1.16434,1.16435,1.1642,1.16426,1.16433,1.1643400000000002,1.1641949999999999,1.16424,4.000000000004,2026-06-02
2026-06-02 13:01:00+03:00,1.16423,1.16423,1.16416,1.16418,1.16426,1.16426,1.16418,1.16419,1.1642450000000002,1.1642450000000002,1.16417,1.164185,1.0000000000065512,2026-06-02
2026-06-02 13:02:00+03:00,1.16418,1.1642,1.16412,1.16418,1.1642,1.16423,1.16414,1.16419,1.16419,1.164215,1.16413,1.164185,1.0000000000065512,2026-06-02
2026-06-02 13:03:00+03:00,1.16421,1.16424,1.16417,1.16424,1.16422,1.16425,1.1642,1.16425,1.164215,1.164245,1.1641849999999998,1.164245,1.0000000000065512,2026-06-02
2026-06-02 13:04:00+03:00,1.16424,1.16431,1.16413,1.1643,1.16426,1.16434,1.16415,1.16434,1.16425,1.1643249999999998,1.1641400000000002,1.16432,4.000000000004,2026-06-02
2026-06-02 13:05:00+03:00,1.16431,1.16452,1.1643,1.16452,1.16434,1.16456,1.16432,1.16456,1.1643249999999998,1.1645400000000001,1.16431,1.1645400000000001,4.000000000004,2026-06-02
2026-06-02 13:06:00+03:00,1.16453,1.16453,1.16437,1.16437,1.16456,1.16456,1.1644,1.1644,1.164545,1.164545,1.164385,1.164385,3.000000000019653,2026-06-02
2026-06-02 13:07:00+03:00,1.16437,1.16442,1.16433,1.16441,1.16439,1.16445,1.16435,1.16445,1.16438,1.164435,1.1643400000000002,1.1644299999999999,4.000000000004,2026-06-02
2026-06-02 13:08:00+03:00,1.1644,1.16442,1.16437,1.16439,1.16444,1.16444,1.16439,1.16442,1.16442,1.1644299999999999,1.16438,1.164405,2.9999999999974487,2026-06-02
2026-06-02 13:09:00+03:00,1.16437,1.16444,1.16437,1.1644,1.16442,1.16446,1.16441,1.16445,1.1643949999999998,1.16445,1.16439,1.164425,4.999999999988347,2026-06-02
2026-06-02 13:10:00+03:00,1.16439,1.1645,1.16436,1.16448,1.16443,1.16452,1.16439,1.1645,1.1644100000000002,1.16451,1.1643750000000002,1.16449,2.0000000000131024,2026-06-02
2026-06-02 13:11:00+03:00,1.16447,1.16448,1.16438,1.16447,1.1645,1.16451,1.16442,1.1645,1.164485,1.164495,1.1644,1.164485,3.000000000019653,2026-06-02
2026-06-02 13:12:00+03:00,1.16446,1.16446,1.16433,1.16433,1.16448,1.16448,1.16435,1.16435,1.1644700000000001,1.1644700000000001,1.1643400000000002,1.1643400000000002,1.9999999999908977,2026-06-02
2026-06-02 13:13:00+03:00,1.16434,1.16435,1.16431,1.16435,1.16438,1.16438,1.16435,1.16436,1.1643599999999998,1.164365,1.16433,1.164355,1.0000000000065512,2026-06-02
2026-06-02 13:14:00+03:00,1.16434,1.16437,1.16434,1.16437,1.16438,1.16441,1.16438,1.1644,1.1643599999999998,1.16439,1.1643599999999998,1.164385,3.000000000019653,2026-06-02
2026-06-02 13:15:00+03:00,1.16436,1.16438,1.16428,1.16428,1.16439,1.16442,1.16432,1.16433,1.1643750000000002,1.1644,1.1643,1.1643050000000001,5.000000000010552,2026-06-02
2026-06-02 13:16:00+03:00,1.16428,1.16428,1.16411,1.16412,1.16432,1.16432,1.16415,1.16416,1.1643,1.1643,1.16413,1.1641400000000002,4.000000000004,2026-06-02
2026-06-02 13:17:00+03:00,1.16414,1.16415,1.16404,1.16405,1.16417,1.16419,1.16408,1.1641,1.164155,1.16417,1.16406,1.164075,4.999999999988347,2026-06-02
2026-06-02 13:18:00+03:00,1.16407,1.1641,1.16405,1.16409,1.16411,1.16415,1.1641,1.16414,1.1640899999999998,1.1641249999999999,1.164075,1.164115,4.999999999988347,2026-06-02
2026-06-02 13:19:00+03:00,1.16408,1.16409,1.16405,1.16407,1.16414,1.16414,1.16408,1.1641,1.16411,1.164115,1.164065,1.164085,2.9999999999974487,2026-06-02
2026-06-02 13:20:00+03:00,1.16407,1.16407,1.16391,1.16393,1.16411,1.16411,1.16395,1.16397,1.1640899999999998,1.1640899999999998,1.1639300000000001,1.1639499999999998,4.000000000004,2026-06-02
2026-06-02 13:21:00+03:00,1.16396,1.16397,1.16382,1.16385,1.16397,1.164,1.16386,1.1639,1.1639650000000001,1.1639849999999998,1.16384,1.163875,4.999999999988347,2026-06-02
2026-06-02 13:22:00+03:00,1.16385,1.1639,1.16385,1.16386,1.16389,1.16394,1.16388,1.1639,1.1638700000000002,1.16392,1.163865,1.1638799999999998,4.000000000004,2026-06-02
2026-06-02 13:23:00+03:00,1.16388,1.16398,1.16388,1.16398,1.16392,1.16401,1.16392,1.16401,1.1639,1.163995,1.1639,1.163995,2.9999999999974487,2026-06-02
2026-06-02 13:24:00+03:00,1.16398,1.16408,1.16394,1.16408,1.164,1.1641,1.16398,1.1641,1.16399,1.1640899999999998,1.1639599999999999,1.1640899999999998,1.9999999999908977,2026-06-02
2026-06-02 13:25:00+03:00,1.16406,1.16413,1.16406,1.16412,1.1641,1.16416,1.16409,1.16416,1.16408,1.164145,1.164075,1.1641400000000002,4.000000000004,2026-06-02
2026-06-02 13:26:00+03:00,1.16415,1.16417,1.16407,1.16414,1.16417,1.1642,1.16411,1.16416,1.1641599999999999,1.1641849999999998,1.1640899999999998,1.16415,2.0000000000131024,2026-06-02
2026-06-02 13:27:00+03:00,1.16414,1.16419,1.16413,1.16417,1.16416,1.16421,1.16416,1.16421,1.16415,1.1642000000000001,1.164145,1.16419,4.000000000004,2026-06-02
2026-06-02 13:28:00+03:00,1.16416,1.16422,1.16413,1.16422,1.1642,1.16425,1.16416,1.16424,1.16418,1.1642350000000001,1.164145,1.1642299999999999,1.9999999999908977,2026-06-02
2026-06-02 13:29:00+03:00,1.16421,1.16426,1.16421,1.16425,1.16426,1.16429,1.16424,1.16428,1.1642350000000001,1.164275,1.164225,1.1642649999999999,2.9999999999974487,2026-06-02
2026-06-02 13:30:00+03:00,1.16426,1.16429,1.16424,1.16427,1.16428,1.1643,1.16427,1.16429,1.1642700000000001,1.164295,1.1642549999999998,1.16428,2.0000000000131024,2026-06-02
2026-06-02 13:31:00+03:00,1.16427,1.16428,1.16422,1.16422,1.16429,1.1643,1.16425,1.16426,1.16428,1.1642899999999998,1.1642350000000001,1.16424,4.000000000004,2026-06-02
2026-06-02 13:32:00+03:00,1.16424,1.16425,1.1642,1.1642,1.16425,1.16429,1.16424,1.16425,1.164245,1.1642700000000001,1.1642199999999998,1.164225,5.000000000010552,2026-06-02
2026-06-02 13:33:00+03:00,1.1642,1.16426,1.16417,1.1642,1.16424,1.1643,1.16421,1.16425,1.1642199999999998,1.16428,1.16419,1.164225,5.000000000010552,2026-06-02
2026-06-02 13:34:00+03:00,1.16423,1.16427,1.1642,1.16423,1.16424,1.16431,1.16424,1.16424,1.1642350000000001,1.1642899999999998,1.1642199999999998,1.1642350000000001,0.9999999999843466,2026-06-02
2026-06-02 13:35:00+03:00,1.16422,1.16423,1.16415,1.16417,1.16424,1.16427,1.1642,1.1642,1.1642299999999999,1.16425,1.164175,1.1641849999999998,2.9999999999974487,2026-06-02
2026-06-02 13:36:00+03:00,1.16416,1.16424,1.16416,1.16421,1.1642,1.16426,1.1642,1.16424,1.16418,1.16425,1.16418,1.164225,2.9999999999974487,2026-06-02
2026-06-02 13:37:00+03:00,1.16421,1.16428,1.16421,1.16423,1.16425,1.16429,1.16424,1.16427,1.1642299999999999,1.164285,1.164225,1.16425,3.9999999999817955,2026-06-02
2026-06-02 13:38:00+03:00,1.16425,1.16426,1.16423,1.16425,1.16427,1.16429,1.16427,1.16427,1.16426,1.164275,1.16425,1.16426,1.9999999999908977,2026-06-02
2026-06-02 13:39:00+03:00,1.16425,1.1643,1.16422,1.16427,1.1643,1.16433,1.16425,1.16432,1.164275,1.164315,1.1642350000000001,1.164295,5.000000000010552,2026-06-02
2026-06-02 13:40:00+03:00,1.16428,1.16429,1.16427,1.16428,1.1643,1.16433,1.16429,1.1643,1.1642899999999998,1.16431,1.16428,1.1642899999999998,1.9999999999908977,2026-06-02
2026-06-02 13:41:00+03:00,1.16427,1.16434,1.16427,1.16427,1.16432,1.16437,1.16431,1.16431,1.164295,1.164355,1.1642899999999998,1.1642899999999998,4.000000000004,2026-06-02
2026-06-02 13:42:00+03:00,1.16426,1.16432,1.16419,1.16432,1.16431,1.16436,1.16423,1.16436,1.164285,1.1643400000000002,1.1642100000000002,1.1643400000000002,4.000000000004,2026-06-02
2026-06-02 13:43:00+03:00,1.1643,1.1643,1.16427,1.16428,1.16434,1.16434,1.16429,1.1643,1.16432,1.16432,1.16428,1.1642899999999998,1.9999999999908977,2026-06-02
2026-06-02 13:44:00+03:00,1.16428,1.16438,1.16428,1.16437,1.16432,1.16442,1.16432,1.16442,1.1643,1.1644,1.1643,1.1643949999999998,5.000000000010552,2026-06-02
